88 197
0 1 U 
0 1 T 
0 2 U 
0 2 T 
0 3 U 
0 3 T 
4 5 B 
4 6 B 
7 8 U 
7 8 T 
7 8 B 
7 9 U 
7 9 T 
3 10 U 
3 10 B 
11 8 U 
11 12 U 
11 12 T 
13 14 T 
13 14 B 
13 15 B 
16 17 B 
16 10 B 
18 19 B 
18 8 B 
18 20 B 
18 21 B 
22 23 B 
22 24 T 
22 25 U 
22 25 T 
22 25 B 
22 26 U 
27 28 T 
27 29 T 
12 30 U 
12 30 B 
12 31 U 
12 32 U 
33 34 U 
33 34 T 
33 34 B 
33 35 U 
33 35 T 
36 37 U 
36 38 U 
36 38 T 
36 38 B 
14 39 B 
14 40 T 
14 40 B 
5 41 B 
5 6 B 
5 15 B 
42 43 U 
42 43 T 
42 44 B 
26 45 U 
26 40 B 
26 46 B 
47 8 T 
47 17 B 
47 48 T 
49 37 U 
49 37 B 
49 50 U 
49 50 B 
49 38 U 
51 52 U 
51 52 B 
51 53 U 
54 41 B 
54 25 B 
54 50 B 
55 1 U 
55 1 B 
55 56 U 
55 57 B 
58 59 U 
58 59 B 
58 60 U 
58 61 U 
58 62 U 
58 62 B 
63 64 U 
63 64 B 
63 61 U 
63 65 U 
63 65 B 
34 35 B 
66 41 U 
66 41 T 
66 41 B 
66 67 U 
66 67 T 
30 59 U 
30 59 B 
30 50 U 
30 68 U 
65 68 U 
23 24 B 
56 52 U 
56 69 U 
56 69 B 
56 70 U 
56 70 B 
56 29 T 
71 24 U 
71 24 B 
71 72 U 
71 72 B 
35 73 U 
35 73 T 
2 28 U 
2 28 T 
2 28 B 
74 75 T 
74 75 B 
74 43 B 
74 20 T 
74 20 B 
57 29 B 
72 45 U 
72 45 B 
72 40 T 
72 40 B 
76 73 U 
76 73 T 
76 73 B 
76 77 U 
76 77 B 
20 8 U 
20 8 T 
20 43 U 
20 43 T 
20 21 T 
32 52 U 
32 69 U 
32 9 U 
32 9 B 
32 78 B 
46 39 B 
46 79 B 
46 80 B 
21 81 T 
21 81 B 
21 44 B 
48 1 T 
48 1 B 
59 50 U 
59 50 B 
59 61 U 
59 61 B 
64 52 U 
81 44 B 
10 17 U 
78 68 U 
68 52 U 
68 52 B 
82 83 U 
82 62 B 
82 77 U 
82 77 B 
37 60 U 
37 60 T 
8 19 U 
8 31 B 
75 24 T 
75 24 B 
75 31 U 
79 6 B 
79 84 B 
61 83 U 
61 85 U 
61 85 B 
77 86 B 
86 85 U 
86 85 B 
38 67 U 
38 67 T 
38 67 B 
15 67 B 
41 25 U 
41 25 T 
41 25 B 
39 84 B 
19 17 U 
19 17 B 
83 85 U 
70 87 U 
85 52 U 
80 25 B 
80 6 B 
24 50 U 
24 50 B 
53 87 U 
53 87 B 
